,T_PV,I,T_mt,Do_am
105360,28.25,750,31.9,64.9
105420,28.25,932.5,31.9,64.9
105480,28.19,1104.17,31.9,65.1
105540,28.12,1260.83,31.9,65.3
105600,28.19,1305.83,31.9,65.3
105660,28.19,1140.83,31.9,65.5
105720,28.19,1050.83,31.8,65.6
105780,28.06,965.83,31.8,65.8
105840,28.06,996.67,31.8,65.9
105900,28,1112.5,31.7,66
105960,28,1262.5,31.7,66.3
106020,28,1565,31.7,66.2
106080,28.06,1901.67,31.7,65.9
106140,28.06,2034.17,31.7,65.8
106200,28.12,2024.17,31.8,65.6
106260,28.12,2233.33,31.8,65.6
106320,28.25,2395,31.8,65.4
106380,28.31,2723.33,31.9,65.4
106440,28.37,2892.5,31.9,65.2
106500,28.5,3009.17,32,65.1
106560,28.56,2799.17,32,65
106620,28.69,2691.67,32,64.9
106680,28.69,2520.83,32.1,64.9
106740,28.75,2552.5,32.1,64.8
106800,28.81,2705,32.2,64.8
106860,28.81,2555,32.2,64.6
106920,28.81,2709.17,32.3,64.5
106980,28.94,2977.5,32.3,64.5
107040,28.87,3106.67,32.3,64.4
107100,28.87,3068.33,32.3,64.4
107160,28.87,2948.33,32.3,64.4
107220,28.94,2640.83,32.3,64.3
107280,29,2378.33,32.3,64.2
107340,28.94,2031.67,32.4,64.2
107400,28.94,1922.5,32.3,64.2
107460,28.87,1780,32.3,64.2
107520,28.81,1416.67,32.3,64.3
107580,28.81,1252.5,32.3,64.4
107640,28.69,832.5,32.3,64.6
107700,28.69,562.5,32.3,64.8
107760,28.62,477.5,32.2,65.1
107820,28.5,533.33,32.2,65.3
107880,28.44,653.33,32.2,65.5
107940,28.37,614.17,32.1,65.8
108000,28.31,645.83,32,65.9
108060,28.19,824.17,32,66.1
108120,28.25,867.5,32,66.4
108180,28.19,750.83,31.9,66.4
108240,28.12,620.83,31.9,66.6
108300,28.06,484.17,31.8,66.8
108360,27.94,561.67,31.8,67.1
108420,27.94,675.83,31.7,67.2
108480,27.94,741.67,31.7,67.3
108540,27.94,867.5,31.7,67.6
108600,27.94,928.33,31.6,67.6
108660,27.94,940,31.6,67.5
108720,27.87,874.17,31.6,67.5
108780,27.87,813.33,31.6,67.5
108840,27.87,800.83,31.6,67.7
